Country,Totally_Disagree,Tend_Disagree,Tend_Agree,Totally_Agree,Dont_Know,Security_Incident,Safe_Tech_Policies
Australia,3,7,43,43,4,9,66
Belgium,1,9,40,48,2,20,74
Bulgaria,1,2,24,65,8,13,72
Croatia,1,8,37,47,4,16,67
Cyprus,1,2,26,67,4,8,68
Czech Republic,2,7,37,50,4,17,86
Denmark,1,4,25,66,4,7,83
Estonia,0,4,39,51,6,6,61
Finland,1,4,29,63,3,13,91
France,1,3,31,62,3,12,70
Germany,2,4,32,59,3,8,84
Greece,1,3,23,71,2,4,55
Hungary,4,12,35,45,4,13,68
Ireland,1,4,37,54,4,15,85
Italy,3,8,43,40,6,8,82
Latvia,1,3,29,63,4,9,87
Lithuania,0,4,35,57,4,11,66
Luxemborg,1,4,33,58,4,14,76
Malta,2,4,46,38,10,18,83
Netherlands,1,2,22,74,1,8,76
Poland,2,8,44,42,4,9,76
Portugal,2,2,37,48,11,7,85
Romania,5,12,33,42,8,9,53
Slovakia,0,5,44,46,5,12,77
Slovenia,2,6,37,52,3,10,57
Spain,1,3,40,47,9,9,69
Sweden,1,2,18,75,4,33,73
United Kingdom,1,3,34,57,5,4,86
